company_id,company_name,exposure_value_usd,term,loss_given_default
101,101,40768586,7,0.4
102,102,15705614,5,0.4
103,103,9840693,2,0.4
104,104,4136880,2,0.4
105,105,1164536.94,1,0.4
106,106,562325.33,1,0.4
107,107,316308,1,0.4
108,108,294553,4,0.4
109,109,33616735.93,1,0.4
110,110,3770391,1,0.4
111,111,1405813,1,0.4
112,112,225532,1,0.4
