run_id,asset_id,asset_name,company_id,company_name,country_iso2,sector,technology,year,production_plan_company_technology,production_baseline_scenario,production_target_scenario,production_shock_scenario,pd,net_profit_margin,debt_equity_ratio,volatility,scenario_price_baseline,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2022,641009.333034827,641009.333034827,627117.9003405024,641009.333034827,0.032662742,0.069430834,0.136403606,0.054875261,67.557142700565,67.557142700565,3006685.532443929,3006685.532443929,3006685.532443929,3006685.532443929
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2023,647870.5103512962,647870.5103512962,612010.7293397086,647870.5103512962,0.032662742,0.069430834,0.136403606,0.054875261,67.6163163161599,67.6163163161599,3041529.9780115406,3041529.9780115406,2842551.3813191964,2842551.3813191964
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2024,654676.1233526205,654676.1233526205,596903.5583389155,654676.1233526205,0.032662742,0.069430834,0.136403606,0.054875261,67.6711869524702,67.6711869524702,3075974.1271384475,3075974.1271384475,2686674.929809108,2686674.929809108
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2025,661426.8442868649,661426.8442868649,581796.3873381205,661426.8442868649,0.032662742,0.069430834,0.136403606,0.054875261,67.7220643522556,67.7220643522556,3110028.630390394,3110028.630390394,2538709.7680574427,2538709.7680574427
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2026,666187.9701307933,666187.9701307933,521518.4266807935,666187.9701307933,0.032662742,0.069430834,0.136403606,0.054875261,67.7692364223423,67.7692364223423,3134597.337577501,3134597.337577501,2391369.300534795,2391369.300534795
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2027,1006573.0749389003,1006573.0749389003,461240.4660234649,1006573.0749389003,0.032662742,0.069430834,0.136403606,0.054875261,67.8129706837863,67.8129706837863,4739259.192358417,4739259.192358417,3379026.305142483,3379026.305142483
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2028,1352024.4869732617,1352024.4869732617,400962.50536613807,1352024.4869732617,0.032662742,0.069430834,0.136403606,0.054875261,67.8535156949254,67.8535156949254,6369557.962706501,6369557.962706501,4244305.417598023,4244305.417598023
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2029,1362163.6909584547,1362163.6909584547,340684.54470880993,1362163.6909584547,0.032662742,0.069430834,0.136403606,0.054875261,67.8911022886536,67.8911022886536,6420879.827835372,6420879.827835372,3998601.2554564546,3998601.2554564546
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2030,NA,1360072.7824633121,280406.5840514823,1234019.6233489052,0.032662742,0.069430834,0.136403606,0.054875261,67.9259448651108,67.9259448651108,6414314.056401241,5819827.819497862,3733189.180365024,3387192.7779486496
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2031,NA,1367352.5557730044,246069.22477527984,1105875.5557393557,0.032662742,0.069430834,0.136403606,0.054875261,67.9582424812491,67.94318292561617,6451712.816030193,5216804.104421128,3509304.2981014145,2837595.7808461273
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2032,NA,1374632.329082698,211731.86549907792,977731.4881298065,0.032662742,0.069430834,0.136403606,0.054875261,67.988179946938,67.96042098612155,6488918.967550518,4613473.650142056,3298637.363873848,2345256.064331886
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2033,NA,1381912.1023923897,177394.506222876,849587.420520257,0.032662742,0.069430834,0.136403606,0.054875261,68.0159287847935,67.97765904662694,6525945.389347258,4009836.4566606437,3100429.6440976653,1905044.4152517964
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2034,NA,1389191.8757020817,143057.14694667392,721443.3529107075,0.032662742,0.069430834,0.136403606,0.054875261,68.0416482087315,67.99489710713232,6562804.119375569,3405892.5239768904,2913963.515157113,1512257.012534351
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2035,NA,1396471.6490117754,108719.7876704717,593299.2853011581,0.032662742,0.069430834,0.136403606,0.054875261,68.0654859338257,68.0121351676377,6599506.402576455,2801641.8520907974,2738560.5306820064,1162581.764334277
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2036,NA,1398387.470456365,95674.7746881741,465155.2176916087,0.032662742,0.069430834,0.136403606,0.054875261,68.0875790542164,68.02937322814307,6610705.322565809,2197084.441002365,2563745.4993760153,852067.2261916283
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2037,NA,1400303.291900956,82629.76170587644,337011.1500820592,0.032662742,0.069430834,0.136403606,0.054875261,68.1080547452781,68.04661128864845,6621752.866766258,1592220.2907115924,2400027.969614813,577093.906762217
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2038,NA,1402219.1133455466,69584.74872357881,208867.0824725097,0.032662742,0.069430834,0.136403606,0.054875261,68.1270309706011,68.06384934915384,6632659.874350476,987049.4012184797,2246711.37485974,334347.7819271142
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,MN,Power,CoalCap,2039,NA,1404134.9347901368,56539.735741281205,80723.0148629602,0.032662742,0.069430834,0.136403606,0.054875261,68.1446171686782,68.08108740965922,6643436.4161418695,381571.772523027,2103141.8340271832,120795.85130478725
