company_id,sector,technology,term,exposure_value_usd,loss_given_default,pd_baseline,pd_shock,bank_internal_pd,equity_0_baseline,equity_0_late_sudden,debt,d2_base,d2_ls,volatility,V0_L_ratio,equity_delta_shock_pct,pd_pattern,adjusted_absolute,adjusted_relative,adjusted_zscore
101,Power,CoalCap,7,40768586,0.4,NA,NA,0.032662742,NA,NA,NA,NA,NA,NA,NA,NA,TERM_OUT_OF_MODEL_RANGE,NA,NA,NA
102,Power,RenewablesCap,5,15705614,0.4,1.25755100998437e-4,6.827443610279982e-5,0.032662742,115231841.5306355,130283690.40337697,6207561.082073384,3.660717240973212,3.8143372817267114,0.340155678,19.563142594506214,0.13062230606407327,LOW_LEVERAGE,6.827443610279982e-5,6.827443610279982e-5,1.0000000000000042e-4
103,Coal,Coal,2,9840693,0.4,1.0429335173256504e-10,0.015413478490146848,0.032662742,4405658039.129769,1037632003.9152122,3965092235.2167926,6.3548819196415245,2.159299266998316,0.086755752,2.1111111111111107,-0.7644774073023218,NORMAL,0.015413478490146848,0.015413478490146848,0.015413478490146874
104,Power,RenewablesCap,2,4136880,0.4,0,0,0.032662742,368484890.31080127,416617236.43296534,331636401.27972114,12.689437227741925,13.7638051701319,0.043760063,2.111111111111111,0.1306223060640736,LOW_VOL,0,0,1.0000000000000024e-4
105,Coal,Coal,1,1164536.94,0.4,2.717297095610194e-4,0.14325575481393837,0.059683748,650133997.4877917,153121244.68923047,585120597.7390125,3.4583675487180825,1.065805642687296,0.215150507,2.111111111111111,-0.7644774073023218,NORMAL,0.14325575481393837,0.14325575481393837,0.14325575481393832
106,Power,CoalCap,1,562325.33,0.4,0,1.1102230246251565e-16,0.020814778,12425687.771434594,2671277.413211616,11935770.239120023,27.241810145740747,8.234678430934466,0.026910855,2.0410461597785154,-0.7850197540491389,LOW_VOL,1.1102230246251565e-16,0,1.0000000000000024e-4
107,Coal,Coal,1,316308,0.4,0,1.9958071464099003e-4,0.029491433,450092767.491548,106007015.55408265,166534323.97187275,9.293356145671591,3.540637603736373,0.141928401,3.702702702702703,-0.7644774073023218,NEAR_ZERO_PD,1.9958071464099003e-4,0,1.995807146409903e-4
108,Coal,Coal,4,294553,0.4,0.007722614522272742,0.160925794471812,0.187922237,1750360.7624671315,412249.50493254367,242711.312369912,2.4217674948039134,0.9906600823139324,0.388809764,8.211698315072509,-0.7644774073023217,LOW_LEVERAGE,0.160925794471812,0.160925794471812,0.160925794471812
109,Coal,Coal,1,33616735.93,0.4,0,6.559319278565123e-5,0.032662742,1318417035.2869196,318935581.3786887,382340940.23320663,9.344688378383854,3.824220661126816,0.160480428,4.448275862068966,-0.7580920354921836,NEAR_ZERO_PD,6.559319278565123e-5,0,1.0000000000000024e-4
110,Coal,Coal,1,3770391,0.4,0.00163132249526865,0.18550876118298754,0.009639929,8751803.812335659,2061247.5246627177,7001443.049868528,2.9418437555440717,0.8945690133189586,0.27005679,2.25,-0.7644774073023218,NORMAL,0.18550876118298754,0.18550876118298754,0.18550876118298756
111,Coal,Coal,1,1405813,0.4,0.00163132249526865,0.18241974268191175,0.009639929,97304176.69441237,23233832.43467396,77843341.35552989,2.9418437555440717,0.9061820818757816,0.27005679,2.25,-0.7612247158964127,NORMAL,0.18241974268191175,0.18241974268191175,0.18241974268191177
112,Coal,Coal,1,225532,0.4,0.00163132249526865,0.18550876118298754,0.009639929,8751803.812335659,2061247.5246627177,7001443.049868528,2.9418437555440717,0.8945690133189586,0.27005679,2.25,-0.7644774073023218,NORMAL,0.18550876118298754,0.18550876118298754,0.18550876118298756
