company_id,company_name,asset_id,country_iso2,asset_name,production_year,emission_factor,technology,sector,capacity,capacity_factor,production_unit
111,111,111,MN,111,2027,1.830537148,Coal,Coal,783046.033,1,t coal
111,111,111,MN,111,2028,1.830537149,Coal,Coal,779326.078,1,t coal
111,111,111,MN,111,2029,1.830537147,Coal,Coal,775623.796,1,t coal
112,112,112,MN,112,2023,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2024,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2025,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2026,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2027,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2028,1.078335705,Coal,Coal,70000,1,t coal
112,112,112,MN,112,2029,1.078335705,Coal,Coal,70000,1,t coal
