run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001058,Kaptan Demir Celik Endustrisi ve Ticaret AS,Steel,3,2.6969467447035544e-4,4.170865742577634e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001058,Kaptan Demir Celik Endustrisi ve Ticaret AS,Steel,4,0.0016182280316058284,0.0022478068838336362,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001058,Kaptan Demir Celik Endustrisi ve Ticaret AS,Steel,5,0.004846613281016987,0.006311026660141383,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,United States Steel Corp,Steel,1,1.411848415955319e-11,0.0018988800865933353,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,United States Steel Corp,Steel,2,1.8663746458313923e-6,0.024631494546944466,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,United States Steel Corp,Steel,3,1.0312091093644948e-4,0.061800388234770076,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,United States Steel Corp,Steel,4,7.965189881786738e-4,0.10085744711887035,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,United States Steel Corp,Steel,5,0.002776986063313558,0.13762633032407512,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001765,Siderca SAI y C,Steel,1,3.574696094688079e-12,0.0017268724654017076,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001765,Siderca SAI y C,Steel,2,9.115575100304696e-7,0.02313923937259843,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001765,Siderca SAI y C,Steel,3,6.270913712835835e-5,0.058670766380054085,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
