run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010257,P100000120583-2,Khouzestan Steel Co,Khouzestan Steel plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010257,P100000121164-1,Khouzestan Steel Co,Shadegan Steel Complex,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010258,P100000120582-1,Khorasan Steel Complex Co,Khorasan Steel Complex,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010262,P100000120695-1,Hyundai Steel Co,Hyundai Steel Dangjin steel plant,Steel,BOF-BF,2250383281.546749,472687640.09367865,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010262,P100000120696-1,Hyundai Steel Co,Hyundai Steel Incheon steel plant,Steel,EAF-MM,5030069861.218645,4728034237.180795,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010266,P100000120928-1,Big River Steel LLC,U.S. Steel Big River Steel plant,Steel,EAF-MM,3639900815.558558,3364279880.4048796,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010269,P100000120880-1,MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AS,MMK Türkiye Metallurgical Payas plant,Steel,EAF-MM,4622839073.4282675,4274483234.4319243,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010272,P100000120892-1,CebitAS Demir Celik Endustrisi AS,Cebitas steel plant,Steel,EAF-MM,1590256641.2593236,1470422232.6445818,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010273,P100000120474-1,CelSA France Sas,Celsa France Boucau steel plant,Steel,EAF-MM,2218962755.2455673,2051751952.5273235,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010274,P100000120009-1,Sipar Aceros SA,Gerdau Sipar Pérez steel plant,Steel,EAF-MM,442400560.874944,481343894.72513807,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010277,P100000120042-1,Gerdau Acos Longos Sa,Gerdau Cosigua Santa Cruz steel plant,Steel,EAF-MM,881343754.9898393,888915935.4535574,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010277,P100000120047-1,Gerdau Acos Longos Sa,Gerdau Divinópolis steel plant,Steel,BOF-BF,160236065.14671636,29047500.538011122,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010277,P100000120048-1,Gerdau Acos Longos Sa,Gerdau São Paulo Araçariguama steel plant,Steel,EAF-MM,894474551.1058697,903571067.134476,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010278,P100000120033-1,Gerdau Acominas SA,Gerdau Açominas Ouro Branco steel plant,Steel,BOF-BF,723289422.0044715,190818499.6399,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
